municipio,uf,ng
Santa Maria das Barreiras,PA,24
Santa Maria de Itabira,MG,16
Santa Maria de Jetibá,ES,8
Santa Maria do Cambucá,PE,2
Santa Maria do Herval,RS,14
Santa Maria do Oeste,PR,18
Santa Maria do Pará,PA,14
Santa Maria do Salto,MG,6
Santa Maria do Suaçuí,MG,10
Santa Maria do Tocantins,TO,22
Santa Maria Madalena,RJ,16
Santa Mariana,PR,14
Santa Mercedes,SP,16
Santa Mônica,PR,20
Santa Quitéria,CE,6
Santa Quitéria do Maranhão,MA,16
Santa Rita,MA,18
Santa Rita,PB,2
Santa Rita de Caldas,MG,14
Santa Rita de Cássia,BA,12
Santa Rita de Ibitipoca,MG,24
Santa Rita de Jacutinga,MG,30
Santa Rita de Minas,MG,8
Santa Rita do Araguaia,GO,20
Santa Rita do Itueto,MG,8
Santa Rita do Novo Destino,GO,16
Santa Rita do Pardo,MS,28
Santa Rita do Passa Quatro,SP,16
Santa Rita do Sapucaí,MG,12
Santa Rita do Tocantins,TO,28
Santa Rita do Trivelato,MT,18
Santa Rita d’Oeste,SP,14
Santa Rosa,RS,24
Santa Rosa da Serra,MG,12
Santa Rosa de Goiás,GO,14
Santa Rosa de Lima,SE,2
Santa Rosa de Lima,SC,16
Santa Rosa de Viterbo,SP,18
Santa Rosa do Piauí,PI,12
Santa Rosa do Purus,AC,12
Santa Rosa do Sul,SC,14
Santa Rosa do Tocantins,TO,22
Santa Salete,SP,14
Santa Teresa,ES,8
Santa Teresinha,PB,12
Santa Tereza,RS,16
Santa Tereza de Goiás,GO,18
Santa Tereza do Oeste,PR,22
Santa Tereza do Tocantins,TO,20
Santa Terezinha,PE,8
Santa Terezinha,BA,4
Santa Terezinha,SC,16
Santa Terezinha,MT,22
Santa Terezinha de Goiás,GO,16
Santa Terezinha de Itaipu,PR,22
Santa Terezinha do Progresso,SC,20
Santa Terezinha do Tocantins,TO,12
Santa Vitória,MG,14
Santa Vitória do Palmar,RS,12
Santaluz,BA,4
Santana,AP,8
Santana,BA,10
Santana da Boa Vista,RS,18
Santana da Ponte Pensa,SP,14
Santana da Vargem,MG,12
Santana de Cataguases,MG,16
Santana de Mangueira,PB,6
Santana de Parnaíba,SP,18
Santana de Pirapama,MG,12
Santana do Acaraú,CE,6
Santana do Araguaia,PA,24
Santana do Cariri,CE,4
Santana do Deserto,MG,26
Santana do Garambéu,MG,22
Santana do Ipanema,AL,4
Santana do Itararé,PR,12
Santana do Jacaré,MG,12
Sant’Ana do Livramento,RS,22
Santana do Manhuaçu,MG,12
Santana do Maranhão,MA,12
Santana do Matos,RN,8
Santana do Mundaú,AL,2
Santana do Paraíso,MG,12
Santana do Piauí,PI,14
Santana do Riacho,MG,12
Santana do São Francisco,SE,2
Santana do Seridó,RN,8
Santana dos Garrotes,PB,6
Santana dos Montes,MG,20
Santanópolis,BA,4
Santarém,PA,16
Santarém Novo,PA,8
Santiago,RS,28
Santiago do Sul,SC,20
Santo Afonso,MT,18
Santo Amaro,BA,4
Santo Amaro da Imperatriz,SC,18
Santo Amaro das Brotas,SE,2
Santo Amaro do Maranhão,MA,4
Santo Anastácio,SP,16
Santo André,PB,4
Santo André,SP,20
Santo Ângelo,RS,24
Santo Antônio,RN,2
Santo Antônio da Alegria,SP,16
Santo Antônio da Barra,GO,12
Santo Antônio da Patrulha,RS,14
Santo Antônio da Platina,PR,16
Santo Antônio das Missões,RS,28
Santo Antônio de Goiás,GO,16
Santo Antônio de Jesus,BA,2
Santo Antônio de Lisboa,PI,12
Santo Antônio de Pádua,RJ,18
Santo Antônio de Posse,SP,16
Santo Antônio do Amparo,MG,10
Santo Antônio do Aracanguá,SP,14
Santo Antônio do Aventureiro,MG,20
Santo Antônio do Caiuá,PR,18
Santo Antônio do Descoberto,GO,16
Santo Antônio do Grama,MG,10
Santo Antônio do Içá,AM,20
Santo Antônio do Itambé,MG,14
Santo Antônio do Jacinto,MG,8
Santo Antônio do Jardim,SP,14
Santo Antônio do Leste,MT,16
Santo Antônio do Leverger,MT,28
Santo Antônio do Monte,MG,14
Santo Antônio do Palma,RS,18
Santo Antônio do Paraíso,PR,14
Santo Antônio do Pinhal,SP,18
Santo Antônio do Planalto,RS,18
Santo Antônio do Retiro,MG,6
Santo Antônio do Rio Abaixo,MG,16
Santo Antônio do Sudoeste,PR,22
Santo Antônio do Tauá,PA,18
Santo Antônio dos Lopes,MA,12
Santo Antônio dos Milagres,PI,10
Santo Augusto,RS,22
Santo Cristo,RS,24
Santo Estêvão,BA,4
Santo Expedito,SP,14
Santo Expedito do Sul,RS,14
Santo Hipólito,MG,10
Santo Inácio,PR,16
Santo Inácio do Piauí,PI,10
Santópolis do Aguapeí,SP,12
Santos,SP,18
Santos Dumont,MG,28
São Benedito,CE,6
São Benedito do Rio Preto,MA,10
São Benedito do Sul,PE,2
São Bentinho,PB,10
São Bento,MA,12
São Bento,PB,8
São Bento Abade,MG,14
São Bento do Norte,RN,4
São Bento do Sapucaí,SP,16
São Bento do Sul,SC,18
São Bento do Tocantins,TO,10
São Bento do Trairí,RN,2
São Bento do Una,PE,4
São Bernardino,SC,18
São Bernardo,MA,12
São Bernardo do Campo,SP,20
São Bonifácio,SC,16
São Borja,RS,32
São Brás,AL,2
São Brás do Suaçuí,MG,16
São Braz do Piauí,PI,6
São Caetano de Odivelas,PA,14
São Caetano do Sul,SP,20
São Caitano,PE,4
São Carlos,SP,16
São Carlos,SC,18
São Carlos do Ivaí,PR,20
São Cristóvão,SE,2
São Cristóvão do Sul,SC,18
São Desidério,BA,18
São Domingos,PB,8
São Domingos,SE,2
São Domingos,BA,4
São Domingos,SC,18
São Domingos,GO,16
São Domingos das Dores,MG,8
São Domingos do Araguaia,PA,12
São Domingos do Azeitão,MA,6
São Domingos do Capim,PA,18
São Domingos do Cariri,PB,2
São Domingos do Maranhão,MA,8
São Domingos do Norte,ES,8
São Domingos do Prata,MG,18
São Domingos do Sul,RS,18
São Felipe,BA,2
São Felipe d’Oeste,RO,12
São Félix,BA,4
São Félix de Balsas,MA,10
São Félix de Minas,MG,10
São Félix do Araguaia,MT,22
São Félix do Coribe,BA,8
São Félix do Piauí,PI,14
São Félix do Tocantins,TO,20
São Félix do Xingu,PA,30
São Fernando,RN,6
São Fidélis,RJ,16
São Francisco,PB,6
São Francisco,SE,2
São Francisco,MG,12
São Francisco,SP,12
São Francisco de Assis,RS,28
Piauí,PI,6
São Francisco de Goiás,GO,18
São Francisco de Itabapoana,RJ,8
São Francisco de Paula,MG,12
São Francisco de Paula,RS,14
São Francisco de Sales,MG,16
São Francisco do Brejão,MA,12
São Francisco do Conde,BA,4
São Francisco do Glória,MG,12
São Francisco do Guaporé,RO,16
São Francisco do Maranhão,MA,8
São Francisco do Oeste,RN,6
São Francisco do Pará,PA,16
São Francisco do Piauí,PI,8
São Francisco do Sul,SC,16
São Gabriel,BA,6
São Gabriel,RS,20
São Gabriel da Cachoeira,AM,20
São Gabriel da Palha,ES,10
São Gabriel do Oeste,MS,22
São Geraldo,MG,14
São Geraldo da Piedade,MG,14
São Geraldo do Araguaia,PA,16
São Geraldo do Baixio,MG,8
São Gonçalo,RJ,20
São Gonçalo do Abaeté,MG,16
São Gonçalo do Amarante,CE,2
São Gonçalo do Amarante,RN,2
São Gonçalo do Gurgueia,PI,16
São Gonçalo do Pará,MG,10
São Gonçalo do Piauí,PI,10
São Gonçalo do Rio Abaixo,MG,16
São Gonçalo do Rio Preto,MG,10
São Gonçalo do Sapucaí,MG,12
São Gonçalo dos Campos,BA,4
São Gotardo,MG,12
São Jerônimo,RS,16
São Jerônimo da Serra,PR,16
São João,PE,2
São João,PR,22
São João Batista,MA,18
São João Batista,SC,20
São João Batista do Glória,MG,16
São João da Baliza,RR,14
São João da Barra,RJ,6
São João da Boa Vista,SP,14
São João da Canabrava,PI,16
São João da Fronteira,PI,10
São João da Lagoa,MG,10
São João da Mata,MG,14
São João da Paraúna,GO,14
São João da Ponta,PA,12
São João da Ponte,MG,8
São João da Serra,PI,10
São João da Urtiga,RS,16
São João da Varjota,PI,14
São João d’Aliança,GO,14
São João das Duas Pontes,SP,12
São João das Missões,MG,10
São João de Iracema,SP,12
São João de Meriti,RJ,20
São João de Pirabas,PA,6
São João del Rei,MG,16
São João do Araguaia,PA,12
São João do Arraial,PI,20
São João do Caiuá,PR,18
São João do Cariri,PB,4
São João do Carú,MA,10
São João do Itaperiú,SC,16
São João do Ivaí,PR,16
São João do Jaguaribe,CE,6
São João do Manhuaçu,MG,12
São João do Manteninha,MG,8
São João do Oeste,SC,24
São João do Oriente,MG,8
São João do Pacuí,MG,10
São João do Paraíso,MA,14
São João do Paraíso,MG,6
São João do Pau d’Alho,SP,18
São João do Piauí,PI,8
São João do Polêsine,RS,18
São João do Rio do Peixe,PB,4
São João do Sabugi,RN,10
São João do Soter,MA,12
São João do Sul,SC,14
São João do Tigre,PB,4
São João do Triunfo,PR,12
São João dos Patos,MA,10
São João Evangelista,MG,14
São João Nepomuceno,MG,24
São Joaquim,SC,12
São Joaquim da Barra,SP,16
São Joaquim de Bicas,MG,12
São Joaquim do Monte,PE,4
São Jorge,RS,16
São Jorge do Ivaí,PR,20
São Jorge do Patrocínio,PR,22
São Jorge d’Oeste,PR,22
São José,SC,18
São José da Barra,MG,12
São José da Bela Vista,SP,14
São José da Boa Vista,PR,12
São José da Coroa Grande,PE,2
São José da Lagoa Tapada,PB,6
São José da Laje,AL,2
São José da Lapa,MG,10
São José da Safra,MG,10
São José da Tapera,AL,4
São José da Varginha,MG,10
São José da Vitória,BA,4
São José das Missões,RS,16
São José das Palmeiras,PR,24
São José de Caiana,PB,6
São José de Espinharas,PB,12
São José de Mipibu,RN,2
São José de Piranhas,PB,6
São José de Princesa,PB,6
São José de Ribamar,MA,8
São José de Ubá,RJ,14
São José do Alegre,MG,12
São José do Barreiro,SP,22
São José do Belmonte,PE,8
São José do Bonfm,PB,10
São José do Brejo do Cruz,PB,6
São José do Calçado,ES,14
São José do Campestre,RN,2
São José do Cedro,SC,22
São José do Cerrito,SC,16
São José do Divino,PI,14
São José do Divino,MG,10
São José do Egito,PE,8
São José do Goiabal,MG,14
São José do Herval,RS,18
São José do Hortêncio,RS,14
São José do Inhacorá,RS,20
São José do Jacuípe,BA,2
São José do Jacuri,MG,12
São José do Mantimento,MG,12
São José do Norte,RS,12
São José do Ouro,RS,14
São José do Peixe,PI,8
São José do Piauí,PI,16
São José do Povo,MT,16
São José do Rio Claro,MT,14
São José do Rio Pardo,SP,14
São José do Rio Preto,SP,14
São José do Sabugi,PB,8
São José do Seridó,RN,10
São José do Sul,RS,14
São José do Vale do Rio Preto,RJ,20
São José do Xingu,MT,24
São José dos Ausentes,RS,14
São José dos Basílios,MA,10
São José dos Campos,SP,20
São José dos Cordeiros,PB,4
São José dos Pinhais,PR,16
São José dos Quatro Marcos,MT,18
São José dos Ramos,PB,2
São Julião,PI,6
São Leopoldo,RS,14
São Lourenço,MG,12
São Lourenço da Mata,PE,2
São Lourenço da Serra,SP,16
São Lourenço do Oeste,SC,20
São Lourenço do Piauí,PI,6
São Lourenço do Sul,RS,16
São Ludgero,SC,16
São Luís,MA,12
São Luís de Montes Belos,GO,16
São Luís do Curu,CE,4
São Luis do Piauí,PI,14
São Luís do Quitunde,AL,2
Maranhão,MA,14
São Luiz,RR,14
São Luiz do Norte,GO,14
São Luiz do Paraitinga,SP,18
São Luiz Gonzaga,RS,26
São Mamede,PB,10
São Manoel do Paraná,PR,20
São Manuel,SP,14
São Marcos,RS,12
São Martinho,SC,16
São Martinho,RS,20
São Martinho da Serra,RS,24
São Mateus,ES,10
São Mateus do Maranhão,MA,14
São Mateus do Sul,PR,14
São Miguel,RN,6
São Miguel Arcanjo,SP,18
São Miguel da Baixa Grande,PI,14
São Miguel da Boa Vista,SC,20
São Miguel das Matas,BA,2
São Miguel das Missões,RS,26
São Miguel de Taipu,PB,2
São Miguel do Aleixo,SE,4
São Miguel do Anta,MG,10
São Miguel do Araguaia,GO,18
São Miguel do Fidalgo,PI,8
São Miguel do Gostoso,RN,2
São Miguel do Guamá,PA,18
São Miguel do Guaporé,RO,16
São Miguel do Iguaçu,PR,22
São Miguel do Oeste,SC,20
São Miguel do Passa Quatro,GO,14
São Miguel do Tapuio,PI,12
São Miguel do Tocantins,TO,14
São Miguel dos Campos,AL,2
São Miguel dos Milagres,AL,2
São Nicolau,RS,26
São Patrício,GO,20
São Paulo,SP,22
São Paulo das Missões,RS,24
São Paulo de Olivença,AM,18
São Paulo do Potengi,RN,2
São Pedro,RN,2
São Pedro,SP,16
São Pedro da Água Branca,MA,14
São Pedro da Aldeia,RJ,10
São Pedro da Cipa,MT,20
São Pedro da Serra,RS,14
São Pedro da União,MG,14
São Pedro das Missões,RS,16
São Pedro de Alcântara,SC,18
São Pedro do Butiá,RS,26
São Pedro do Iguaçu,PR,24
São Pedro do Ivaí,PR,18
São Pedro do Paraná,PR,20
São Pedro do Piauí,PI,10
São Pedro do Suaçuí,MG,12
São Pedro do Sul,RS,22
São Pedro do Turvo,SP,16
São Pedro dos Crentes,MA,16
São Pedro dos Ferros,MG,12
São Rafael,RN,10
Mangabeiras,MA,10
Bezerra,MA,6
São Raimundo Nonato,PI,6
São Roberto,MA,6
São Romão,MG,10
São Roque,SP,16
São Roque de Minas,MG,18
São Roque do Canaã,ES,6
São Salvador do Tocantins,TO,16
São Sebastião,AL,2
São Sebastião,SP,18
São Sebastião da Amoreira,PR,12
São Sebastião da Bela Vista,MG,12
São Sebastião da Boa Vista,PA,24
São Sebastião da Grama,SP,14
Alegre,MG,12
Roça,PB,2
São Sebastião do Alto,RJ,18
São Sebastião do Anta,MG,8
São Sebastião do Caí,RS,14
São Sebastião do Maranhão,MG,10
São Sebastião do Oeste,MG,12
São Sebastião do Paraíso,MG,16
São Sebastião do Passé,BA,4
São Sebastião do Rio Preto,MG,16
São Sebastião do Rio Verde,MG,12
São Sebastião do Tocantins,TO,14
São Sebastião do Uatumã,AM,16
São Sebastião do Umbuzeiro,PB,4
São Sepé,RS,18
São Simão,SP,18
São Simão,GO,14
São Tiago,MG,12
São Tomás de Aquino,MG,16
São Tomé,RN,4
São Tomé,PR,20
São Tomé das Letras,MG,14
São Valentim,RS,16
São Valentim do Sul,RS,18
São Valério,TO,18
São Valério do Sul,RS,20
São Vendelino,RS,14
São Vicente,RN,8
São Vicente,SP,18
São Vicente de Minas,MG,14
São Vicente do Seridó,PB,4
São Vicente do Sul,RS,22
São Vicente Ferrer,MA,14
São Vicente Férrer,PE,2
Sapé,PB,2
Sapeaçu,BA,4
Sapezal,MT,16
Sapiranga,RS,14
Sapopema,PR,18
Sapucaia,PA,12
Sapucaia,RJ,20
Sapucaia do Sul,RS,14
Sapucaí-Mirim,MG,18
Saquarema,RJ,14
Sarandi,PR,18
Sarandi,RS,16
Sarapuí,SP,18
Sardoá,MG,14
Sarutaiá,SP,12
Sarzedo,MG,12
Sátiro Dias,BA,4
Satuba,AL,2
Satubinha,MA,14
Saubara,BA,4
Saudade do Iguaçu,PR,22
Saudades,SC,18
Saúde,BA,4
Schroeder,SC,18
Seabra,BA,4
Seara,SC,18
Sebastianópolis do Sul,SP,12
Sebastião Barros,PI,12
Sebastião Laranjeiras,BA,8
Sebastião Leal,PI,12
Seberi,RS,18
Sede Nova,RS,20
Segredo,RS,18
Selbach,RS,16
Selvíria,MS,20
Sem-Peixe,MG,16
Sena Madureira,AC,14
Senador Alexandre Costa,MA,10
Senador Amaral,MG,14
Senador Canedo,GO,14
Senador Cortes,MG,22
Senador Elói de Souza,RN,2
Senador Firmino,MG,16
Senador Georgino Avelino,RN,2
Senador Guiomard,AC,14
Senador José Bento,MG,14
Senador José Porfírio,PA,12
Senador La Rocque,MA,12
Senador Modestino Gonçalves,MG,10
Senador Pompeu,CE,4
Senador Rui Palmeira,AL,4
Senador Sá,CE,6
Senador Salgado Filho,RS,24
Sengés,PR,14
Senhor do Bonfm,BA,4
Senhora de Oliveira,MG,18
Senhora do Porto,MG,16
Senhora dos Remédios,MG,20
Sentinela do Sul,RS,12
Sento Sé,BA,8
Serafna Corrêa,RS,20
Sericita,MG,10
Seringueiras,RO,14
Sério,RS,20
Seritinga,MG,20
Seropédica,RJ,22
Serra,ES,8
Serra Alta,SC,18
Serra Azul,SP,18
Serra Azul de Minas,MG,14
Serra Branca,PB,4
Serra Caiada,RN,2
Serra da Raiz,PB,2
Serra da Saudade,MG,12
Serra de São Bento,RN,2
Serra do Mel,RN,6
Serra do Navio,AP,10
Serra do Ramalho,BA,8
Serra do Salitre,MG,12
Serra dos Aimorés,MG,6
Serra Dourada,BA,10
Serra Grande,PB,6
Serra Negra,SP,14
Serra Negra do Norte,RN,10
Serra Nova Dourada,MT,14
Serra Preta,BA,4
Serra Redonda,PB,2
Serra Talhada,PE,6
Serrana,SP,16
Serrania,MG,10
Serrano do Maranhão,MA,4
Serranópolis,GO,20
Serranópolis de Minas,MG,8
Serranópolis do Iguaçu,PR,24
Serranos,MG,18
Serraria,PB,2
Serrinha,RN,2
Serrinha,BA,2
Serrinha dos Pintos,RN,6
Serrita,PE,6
Serro,MG,14
Serrolândia,BA,2
Sertaneja,PR,14
Sertânia,PE,6
Sertanópolis,PR,14
Sertão,RS,18
Sertão Santana,RS,12
Sertãozinho,PB,2
Sertãozinho,SP,14
Sete Barras,SP,20
Sete de Setembro,RS,24
Sete Lagoas,MG,10
Sete Quedas,MS,26
Setubinha,MG,8
Severiano de Almeida,RS,18
Severiano Melo,RN,6
Severínia,SP,14
Siderópolis,SC,14
Sidrolândia,MS,24
Sigefredo Pacheco,PI,12
Silva Jardim,RJ,22
Silvânia,GO,16
Silvanópolis,TO,22
Silveira Martins,RS,20
Silveirânia,MG,18
Silveiras,SP,20
Silves,AM,16
Silvianópolis,MG,14
Simão Dias,SE,4
Simão Pereira,MG,28
Simões,PI,6
Simões Filho,BA,2
Simolândia,GO,18
Simonésia,MG,10
Simplício Mendes,PI,8
Sinimbu,RS,18
Sinop,MT,18
Siqueira Campos,PR,12
Sirinhaém,PE,2
Siriri,SE,2
Sítio d’Abadia,GO,16
Sítio do Mato,BA,16
Sítio do Quinto,BA,2
Sítio Novo,MA,10
Sítio Novo,RN,2
Sítio Novo do Tocantins,TO,14
Sobradinho,BA,6
Sobradinho,RS,16
Sobrado,PB,2
Sobral,CE,8
Sobrália,MG,10
Socorro,SP,14
Socorro do Piauí,PI,10
Solânea,PB,2
Soledade,PB,4
Soledade,RS,18
Soledade de Minas,MG,12
Solidão,PE,8
Solonópole,CE,4
Sombrio,SC,14
Sonora,MS,24
Sooretama,ES,6
Sorocaba,SP,16
Sorriso,MT,18
Sossego,PB,4
Soure,PA,8
Sousa,PB,6
Souto Soares,BA,4
Sucupira,TO,24
Sucupira do Norte,MA,8
Sucupira do Riachão,MA,10
Sud Mennucci,SP,16
Sul Brasil,SC,20
Sulina,PR,22
Sumaré,SP,18
Sumé,PB,4
Sumidouro,RJ,22
Surubim,PE,2
Sussuapara,PI,14
Suzanápolis,SP,16
Suzano,SP,20
Tabaí,RS,16
Tabaporã,MT,16
Tabapuã,SP,16
Tabatinga,AM,16
Tabatinga,SP,18
Tabira,PE,8
Taboão da Serra,SP,18
Tabocão,TO,22
Tabocas do Brejo Velho,BA,12
Taboleiro Grande,RN,6
Tabuleiro,MG,22
Tabuleiro do Norte,CE,6
Tacaimbó,PE,4
Tacaratu,PE,4
Taciba,SP,16
Tacima,PB,2
Tacuru,MS,24
Taguaí,SP,12
Taguatinga,TO,18
Taiaçu,SP,16
Tailândia,PA,20
Taió,SC,16
Taiobeiras,MG,6
Taipas do Tocantins,TO,24
Taipu,RN,2
Taiúva,SP,14
Talismã,TO,18
Tamandaré,PE,2
Tamarana,PR,18
Tambaú,SP,16
Tamboara,PR,18
Tamboril,CE,8
Tamboril do Piauí,PI,8
Tanabi,SP,12
Tangará,RN,2
Tangará,SC,16
Tangará da Serra,MT,20
Tanguá,RJ,20
Tanhaçu,BA,4
Tanque d’Arca,AL,2
Tanque do Piauí,PI,12
Tanque Novo,BA,6
Tanquinho,BA,4
Taparuba,MG,10
Tapauá,AM,24
Tapejara,PR,20
Tapejara,RS,18
Tapera,RS,16
Taperoá,PB,6
Taperoá,BA,2
Tapes,RS,14
Tapira,MG,16
Tapira,PR,22
Tapiraí,MG,14
Tapiraí,SP,20
Tapiramutá,BA,2
Tapiratiba,SP,14
Tapurah,MT,18
Taquara,RS,16
Taquaraçu de Minas,MG,12
Taquaral,SP,14
Taquaral de Goiás,GO,14
Taquarana,AL,2
Taquari,RS,16
Taquaritinga,SP,18
Taquaritinga do Norte,PE,4
Taquarituba,SP,12
Taquarivaí,SP,18
Taquaruçu do Sul,RS,20
Taquarussu,MS,22
Tarabai,SP,18
Tarauacá,AC,14
Tarrafas,CE,4
Tartarugalzinho,AP,8
Tarumã,SP,16
Tarumirim,MG,8
Tasso Fragoso,MA,14
Tatuí,SP,18
Tauá,CE,4
Taubaté,SP,20
Tavares,PB,8
Tavares,RS,12
Tefé,AM,22
Teixeira,PB,8
Teixeira de Freitas,BA,6
Teixeira Soares,PR,12
Teixeiras,MG,12
Teixeirópolis,RO,16
Tejuçuoca,CE,6
Tejupá,SP,12
Telêmaco Borba,PR,18
Telha,SE,2
Tenente Ananias,RN,6
Tenente Laurentino Cruz,RN,8
Tenente Portela,RS,22
Tenório,PB,4
Teodoro Sampaio,BA,4
Teodoro Sampaio,SP,22
Teoflândia,BA,4
Teóflo Otoni,MG,10
Teolândia,BA,2
Teotônio Vilela,AL,2
Terenos,MS,20
Teresina,PI,12
Teresina de Goiás,GO,10
Teresópolis,RJ,22
Terezinha,PE,2
Terezópolis de Goiás,GO,16
Terra Alta,PA,12
Terra Boa,PR,20
Terra de Areia,RS,14
Terra Nova,PE,4
Terra Nova,BA,4
Terra Nova do Norte,MT,18
Terra Rica,PR,18
Terra Roxa,SP,14
Terra Roxa,PR,24
Terra Santa,PA,16
Tesouro,MT,20
Teutônia,RS,18
Theobroma,RO,14
Tianguá,CE,10
Tibagi,PR,14
Tibau,RN,4
Tibau do Sul,RN,2
Tietê,SP,18
Tigrinhos,SC,20
Tijucas,SC,18
Tijucas do Sul,PR,14
Timbaúba,PE,2
Timbaúba dos Batistas,RN,8
Timbé do Sul,SC,14
Timbiras,MA,14
Timbó,SC,18
Timbó Grande,SC,16
Timburi,SP,12
Timon,MA,10
Timóteo,MG,14
Tio Hugo,RS,16
Tiradentes,MG,16
Tiradentes do Sul,RS,20
Tiros,MG,14
Tobias Barreto,SE,4
Tocantínia,TO,22
Tocantinópolis,TO,12
Tocantins,MG,16
Tocos do Moji,MG,12
Toledo,MG,14
Toledo,PR,24
Tomar do Geru,SE,2
Tomazina,PR,12
Tombos,MG,14
Tomé-Açu,PA,22
Tonantins,AM,20
Toritama,PE,4
Torixoréu,MT,18
Toropi,RS,24
Torre de Pedra,SP,16
Torres,RS,14
Torrinha,SP,14
Touros,RN,2
Trabiju,SP,16
Tracuateua,PA,12
Tracunhaém,PE,2
Traipu,AL,2
Trairão,PA,18
Trairi,CE,2
Trajano de Moraes,RJ,20
Tramandaí,RS,12
Travesseiro,RS,20
Tremedal,BA,4
Tremembé,SP,18
Três Arroios,RS,18
Três Barras,SC,14
Três Barras do Paraná,PR,20
Três Cachoeiras,RS,14
Três Corações,MG,14
Três Coroas,RS,14
Três de Maio,RS,22
Três Forquilhas,RS,14
Três Fronteiras,SP,16
Três Lagoas,MS,22
Três Marias,MG,14
Três Palmeiras,RS,16
Três Passos,RS,22
Três Pontas,MG,14
Três Ranchos,GO,12
Três Rios,RJ,22
Treviso,SC,14
Treze de Maio,SC,14
Treze Tílias,SC,18
Trindade,PE,4
Trindade,GO,14
Trindade do Sul,RS,16
Triunfo,PB,4
Triunfo,PE,6
Triunfo,RS,14
Triunfo Potiguar,RN,8
Trizidela do Vale,MA,12
Trombas,GO,18
Trombudo Central,SC,14
Tubarão,SC,16
Tucano,BA,4
Tucumã,PA,24
Tucunduva,RS,24
Tucuruí,PA,14
Tuflândia,MA,12
Tuiuti,SP,14
Tumiritinga,MG,8
Tunápolis,SC,24
Tunas,RS,18
Tunas do Paraná,PR,16
Tuneiras do Oeste,PR,18
Tuntum,MA,8
Tupã,SP,14
Tupaciguara,MG,18
Tupanatinga,PE,4
Tupanci do Sul,RS,12
Tupanciretã,RS,26
Tupandi,RS,14
Tuparendi,RS,24
Tuparetama,PE,6
Tupãssi,PR,20
Tupi Paulista,SP,18
Tupirama,TO,16
Tupiratins,TO,20
Turiaçu,MA,6
Turilândia,MA,6
Turiúba,SP,10
Turmalina,MG,8
Turmalina,SP,14
Turuçu,RS,14
Tururu,CE,4
Turvânia,GO,18
Turvelândia,GO,16
Turvo,PR,16
Turvo,SC,14
Turvolândia,MG,12
Tutoia,MA,8
Uarini,AM,22
Uauá,BA,4
Ubá,MG,14
Ubaí,MG,10
Ubaíra,BA,4
Ubaitaba,BA,2
Ubajara,CE,8
Ubaporanga,MG,8
Ubarana,SP,12
Ubatã,BA,2
Ubatuba,SP,16
Uberaba,MG,16
Uberlândia,MG,20
Ubirajara,SP,16
Ubiratã,PR,22
Ubiretama,RS,24
Uchoa,SP,16
Uibaí,BA,6
Uiramutã,RR,8
Uirapuru,GO,14
Uiraúna,PB,6
Ulianópolis,PA,10
Umari,CE,6
Umarizal,RN,6
Umbaúba,SE,2
Umburanas,BA,4
Umburatiba,MG,8
Umbuzeiro,PB,2
Umirim,CE,4
Umuarama,PR,26
Una,BA,4
Unaí,MG,14
União,PI,14
União da Serra,RS,20
União da Vitória,PR,16
União de Minas,MG,14
União do Oeste,SC,20
União do Sul,MT,16
União dos Palmares,AL,2
União Paulista,SP,10
Unifor,PR,18
Unistalda,RS,28
Upanema,RN,8
Uraí,PR,12
Urandi,BA,6
Urânia,SP,14
Urbano Santos,MA,8
Uru,SP,12
Uruaçu,GO,16
Uruana,GO,22
Uruana de Minas,MG,10
Uruará,PA,12
Urubici,SC,14
Uruburetama,CE,2
Urucânia,MG,12
Urucará,AM,14
Uruçuca,BA,2
Uruçuí,PI,14
Urucuia,MG,14
Urucurituba,AM,18
Uruguaiana,RS,26
Uruoca,CE,8
Urupá,RO,16
Urupema,SC,12
Urupês,SP,16
Urussanga,SC,14
Urutaí,GO,12
Utinga,BA,4
Vacaria,RS,12
Vale de São Domingos,MT,20
Vale do Anari,RO,14
Vale do Paraíso,RO,14
Vale do Sol,RS,16
Vale Real,RS,14
Vale Verde,RS,16
Valença,BA,2
Valença,RJ,30
Valença do Piauí,PI,16
Valente,BA,4
Valentim Gentil,SP,14
Valinhos,SP,16
Valparaíso,SP,14
Valparaíso de Goiás,GO,16
Vanini,RS,16
Vargeão,SC,18
Vargem,SP,16
Vargem,SC,14
Vargem Alegre,MG,12
Vargem Alta,ES,12
Vargem Bonita,MG,16
Vargem Bonita,SC,18
Vargem Grande,MA,12
Vargem Grande do Rio Pardo,MG,6
Vargem Grande do Sul,SP,14
Vargem Grande Paulista,SP,16
Varginha,MG,14
Varjão,GO,14
Varjão de Minas,MG,16
Varjota,CE,8
Varre-Sai,RJ,14
Várzea,RN,2
Várzea,PB,10
Várzea Alegre,CE,8
Várzea Branca,PI,6
Várzea da Palma,MG,10
Várzea da Roça,BA,2
Várzea do Poço,BA,4
Várzea Grande,PI,12
Várzea Grande,MT,22
Várzea Nova,BA,4
Várzea Paulista,SP,16
Varzedo,BA,2
Varzelândia,MG,8
Vassouras,RJ,28
Vazante,MG,12
Venâncio Aires,RS,20
Venda Nova do Imigrante,ES,10
Venha-Ver,RN,4
Ventania,PR,16
Venturosa,PE,4
Vera,MT,18
Vera Cruz,RN,2
Vera Cruz,BA,4
Vera Cruz,SP,16
Vera Cruz,RS,16
